created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 15:37:40 +0000 2024;1762864652923662643;"Gais";1;146;54;4554;lt;1586992742093103104;1762864652923662643;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1762864652923662643
Sun Feb 25 04:36:15 +0000 2024;1761611036908757295;"Buat ini perlu perjuangan Gais  Yang pertama gendis lewat” Trisha mondar mandir  Ci Cynthia jalan ke stage  Ada ka anin 😌";4;66;77;4166;in;1586992742093103104;1761609638053863657;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1761611036908757295
Fri Feb 23 15:28:53 +0000 2024;1761050502849323295;"Gais sr nya besokkk yaw sambil otw theater😊🫶🏻";6;141;55;4507;in;1586992742093103104;1761050502849323295;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1761050502849323295
Mon Feb 19 07:16:57 +0000 2024;1759477153195081994;"Gais";4;248;59;5454;lt;1586992742093103104;1759477153195081994;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1759477153195081994
Sun Feb 18 18:14:10 +0000 2024;1759280159209971827;"Gais besokkk ya jadi nya mauu srrr ,hehe maaf engga bisaaa malem iniiii😊";2;94;64;5046;in;1586992742093103104;1759280159209971827;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1759280159209971827
Fri Feb 16 16:34:22 +0000 2024;1758530268863021570;"Ini Gais tenang https://t.co/9Anj9DYvTX";13;130;596;12438;in;1586992742093103104;1758530268863021570;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1758530268863021570
Sat Jan 27 09:12:23 +0000 2024;1751171282597818834;"Gais";3;174;66;5364;lt;1586992742093103104;1751171282597818834;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1751171282597818834
Tue Jan 23 05:56:46 +0000 2024;1749672502350209407;"Gais jadiii";3;141;46;4951;in;1586992742093103104;1749672502350209407;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672502350209407
Mon Jan 22 15:57:27 +0000 2024;1749461280409502044;"Gais";5;249;75;5690;lt;1586992742093103104;1749461280409502044;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749461280409502044
Mon Jan 22 07:31:00 +0000 2024;1749333829096223087;"Gais ada namida no shounan versi koploooo🙀";9;159;106;6304;in;1586992742093103104;1749333829096223087;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749333829096223087
Sun Jan 14 08:07:22 +0000 2024;1746443878511907020;"Jadi gais";3;195;70;6053;in;1586992742093103104;1746443878511907020;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1746443878511907020
Sun Jan 07 08:46:19 +0000 2024;1743916964471615677;"Gais";5;247;67;6417;lt;1586992742093103104;1743916964471615677;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1743916964471615677
Wed Jan 03 11:07:55 +0000 2024;1742503050085056946;"Gais";5;215;66;5920;lt;1586992742093103104;1742503050085056946;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1742503050085056946
Tue Jan 02 13:22:10 +0000 2024;1742174445094191585;"Gais";4;231;75;6726;lt;1586992742093103104;1742174445094191585;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1742174445094191585
Mon Jan 01 08:19:38 +0000 2024;1741735923812089995;"Gais";3;270;95;6634;lt;1586992742093103104;1741735923812089995;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1741735923812089995
Fri Dec 29 08:51:52 +0000 2023;1740656872875802798;"Hallo gais live nya nantiii malem yaaaa";2;66;49;4286;in;1586992742093103104;1740656872875802798;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1740656872875802798
Wed Dec 27 11:53:02 +0000 2023;1739977685491908689;"Gais";8;342;76;6242;lt;1586992742093103104;1739977685491908689;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1739977685491908689
Mon Dec 11 15:50:44 +0000 2023;1734239299917549884;"Gais";2;175;65;5025;lt;1586992742093103104;1734239299917549884;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1734239299917549884
Fri Dec 01 11:36:36 +0000 2023;1730551465436213531;"Iyakan gais";2;225;66;5880;in;1586992742093103104;1730551465436213531;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1730551465436213531
Fri Dec 01 11:25:21 +0000 2023;1730548637573505428;"Halo gais";2;190;65;5055;in;1586992742093103104;1730548637573505428;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1730548637573505428
Thu Nov 30 15:23:01 +0000 2023;1730246058415096262;"Gais astaga";3;169;68;5656;en;1586992742093103104;1730246058415096262;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1730246058415096262
Wed Nov 29 07:06:14 +0000 2023;1729758652850925700;"Gais";1;230;64;5311;lt;1586992742093103104;1729758652850925700;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1729758652850925700
Thu Nov 23 07:22:46 +0000 2023;1727588485874516000;"Gais";5;213;66;4935;lt;1586992742093103104;1727588485874516000;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1727588485874516000
Sun Nov 12 07:40:27 +0000 2023;1723606666648915988;"Ini kejadian dirumah ya gais,dan sudah terjadi 23 menit yang lalu";1;67;52;4083;in;1586992742093103104;1723606666648915988;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1723606666648915988
Wed Nov 01 06:11:07 +0000 2023;1719597921979834828;"Gais";2;231;54;4606;lt;1586992742093103104;1719597921979834828;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1719597921979834828
Tue Oct 31 10:48:40 +0000 2023;1719305380499734622;"Gais";4;265;55;4296;lt;1586992742093103104;1719305380499734622;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1719305380499734622
Sat Oct 21 16:42:11 +0000 2023;1715770467242635355;"Gais aku sayang kalian bangettt🙆🏻‍♀️🙆🏻‍♀️💗💗";12;239;102;5647;in;1586992742093103104;1715770467242635355;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1715770467242635355
Fri Oct 20 12:01:15 +0000 2023;1715337379085783275;"Gais aku punya pertanyaaan";2;233;49;4804;in;1586992742093103104;1715337379085783275;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1715337379085783275
Fri Oct 20 09:32:46 +0000 2023;1715300012626964512;"Gais";5;248;48;4312;lt;1586992742093103104;1715300012626964512;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1715300012626964512
Thu Oct 19 07:29:41 +0000 2023;1714906650463871394;"Hallo gais";2;175;52;4526;en;1586992742093103104;1714906650463871394;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1714906650463871394
Tue Oct 17 05:38:29 +0000 2023;1714153890353221897;"Gais";1;185;42;4369;lt;1586992742093103104;1714153890353221897;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1714153890353221897
Thu Oct 12 13:51:08 +0000 2023;1712465929131704562;"Gais nanti mau sr?";4;283;38;4828;in;1586992742093103104;1712465929131704562;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1712465929131704562
Mon Oct 02 17:02:16 +0000 2023;1708890151647428845;"Gais tadi aku ngasih pap di pm kalian uda lihat blm?";0;57;32;4757;in;1586992742093103104;1708890151647428845;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1708890151647428845
Mon Oct 02 04:09:55 +0000 2023;1708695785091760456;"Gais";3;239;49;4852;lt;1586992742093103104;1708695785091760456;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1708695785091760456
Sun Oct 01 06:53:49 +0000 2023;1708374641734250740;"Gais";2;73;37;4030;lt;1586992742093103104;1708374641734250740;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1708374641734250740
Sat Sep 30 03:25:20 +0000 2023;1707959788922077661;"Hallo gais";1;174;44;4311;en;1586992742093103104;1707959788922077661;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1707959788922077661
Sun Sep 24 05:12:04 +0000 2023;1705812322051346662;"Gais kali ini aku srius";4;241;60;5713;in;1586992742093103104;1705812322051346662;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1705812322051346662
Sun Sep 24 00:10:11 +0000 2023;1705736351814156289;"Hallo gais";4;187;48;4466;en;1586992742093103104;1705736351814156289;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1705736351814156289
Sat Sep 23 09:31:35 +0000 2023;1705515241193533875;"Hallo gais";0;142;39;4080;en;1586992742093103104;1705515241193533875;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1705515241193533875
Fri Sep 22 04:08:33 +0000 2023;1705071560749699446;"Halo gais ,selamat pagi menjelang siang ,selamat hari Jumat ,semangat untuk hari ini🙏🏻";2;107;78;3991;in;1586992742093103104;1705071560749699446;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1705071560749699446
Sun Sep 17 15:43:04 +0000 2023;1703434402880168009;"Gais";1;194;54;4821;lt;1586992742093103104;1703434402880168009;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1703434402880168009
Sat Sep 16 15:59:03 +0000 2023;1703076037989736622;"Waaa,terimakasih banyak ya gais,aku terharu,terus dukung ketiiiiiiiii yaaaaa🥹";2;89;70;5100;in;1586992742093103104;1703076037989736622;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1703076037989736622
Sun Sep 03 06:03:22 +0000 2023;1698215084240318723;"Gais";3;231;48;4521;lt;1586992742093103104;1698215084240318723;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1698215084240318723
Sat Sep 02 16:13:03 +0000 2023;1698006130205864399;"Sr yu gais";1;143;35;4047;in;1586992742093103104;1698006130205864399;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1698006130205864399
Fri Sep 01 14:33:41 +0000 2023;1697618737221062787;"Halo gais";0;173;43;4539;in;1586992742093103104;1697618737221062787;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1697618737221062787
