created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Nov 10 05:01:47 +0000 2023;1722841963312103897;"Okei aku sudah tau makasih ya gaiss 💗";0;38;47;3800;in;1586992742093103104;1722841963312103897;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1722841963312103897
Sat Jun 24 05:29:40 +0000 2023;1672477067194306561;"Terimakasih sr nya ya gaisss";0;71;36;3563;in;1586992742093103104;1672477067194306561;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1672477067194306561
Wed Jun 14 10:22:16 +0000 2023;1668926822803980288;"Gaiss";3;282;34;3681;en;1586992742093103104;1668926822803980288;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1668926822803980288
Thu Mar 02 06:15:39 +0000 2023;1631176423569502208;"Gaiss jaga kesehatan yaa cuacanya lagii gaa baguss🫶🏻";2;45;29;1367;in;1586992742093103104;1631176423569502208;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1631176423569502208
Sat Feb 25 03:44:22 +0000 2023;1629326409100558336;"Gaiss mau tanya dong,apa yang membuat kalian ingat sama aku?";3;111;26;1616;in;1586992742093103104;1629326409100558336;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1629326409100558336
Thu Feb 23 13:46:37 +0000 2023;1628753194598932482;"Gaiss kalian sukaa warna apaa,kalo aku suka warna biru,ungu,merah,kuning,hitam,putih ,abu”🫶🏻";0;68;17;1250;in;1586992742093103104;1628753194598932482;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1628753194598932482
Thu Feb 02 08:31:30 +0000 2023;1621063749582098433;"Gaisss rate bulann Januari kalian dongg,aku siii 9/10🙌🏻🙌🏻";4;80;20;1431;in;1586992742093103104;1621063749582098433;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1621063749582098433
Wed Jan 25 07:59:31 +0000 2023;1618156596374417411;"Gaisss aku mau crita nihhh,akuuu hariii iniii makan udah ke gigit 3 kali:( Kalian pernah ga kaya aku";0;45;19;1226;in;1586992742093103104;1618156596374417411;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1618156596374417411
Sat Jan 21 15:55:38 +0000 2023;1616826864265498631;"Ini part 2nya ya gais… Jadi aku sama ci @Gracie_JKT48  bagi tugas gais,aku yang tuang bumbu mi instannya terus ci gracie yang masak air,nah aku tuang bumbunya di meja gais terus selesai aku tuang bumbunya aku duduk di lantai bareng gen 11. Lanjut part 3 gaiss🙏🏻😸";4;64;33;1340;in;1586992742093103104;1616826864265498631;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1616826864265498631
Fri Jan 13 01:58:54 +0000 2023;1613717192977309696;"Pagiii gaisss,awali hari mu dengan bermain lato”👍🏻🤓";3;59;25;1852;in;1586992742093103104;1613717192977309696;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1613717192977309696
Thu Jan 12 04:52:41 +0000 2023;1613398538683318274;"Sianggg gaisss ☀️ Jangan lupa makan siang dan jangan lupa bahagia ya 😊😊 https://t.co/JXpOtExTMS";7;63;130;2391;in;1586992742093103104;1613398538683318274;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1613398538683318274
Tue Jan 10 09:10:24 +0000 2023;1612738619453870082;"Jangan lupa bahagia ya gaisss☺️,salam dari si peri🧚🏻‍♂️ https://t.co/PfqcAhRvt4";10;45;102;2161;in;1586992742093103104;1612738619453870082;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1612738619453870082
Sat Jan 07 06:46:03 +0000 2023;1611615128927207426;"Happy Weekend gaisss...  Malmingan pada ngapain nih 😊 https://t.co/y47YuQU01R";6;45;108;2386;in;1586992742093103104;1611615128927207426;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1611615128927207426
Sat Dec 31 06:45:16 +0000 2022;1609078217234853889;"Hai gaisss…hari ini hari terakir di tahun 2022 Apa yang akan kalian lakukan sebelum berganti tahun???";2;53;25;1586;in;1586992742093103104;1609078217234853889;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1609078217234853889
Thu Dec 29 09:23:08 +0000 2022;1608393168621539332;"Gaiss aku baru beli lato” dong,tapi ga tau cara mainnya🙂🙂";5;118;32;2308;in;1586992742093103104;1608393168621539332;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1608393168621539332
Tue Dec 20 14:59:51 +0000 2022;1605216416428199936;"@Y_CynthiaJKT48 IYA GAISS,kita itu udah niat banget buat Deep talk lhooo,tapi cici kita satu ini ama kak anin malah turu gais🙏🏻🥹";1;19;19;1311;in;1586992742093103104;1605210346733834242;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1605216416428199936
Tue Dec 20 14:57:54 +0000 2022;1605215924235014144;"Halo selamat malaamm gaisss,lagiii pada apa";0;51;18;1442;in;1586992742093103104;1605215924235014144;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1605215924235014144
